FID IID gender age
SH002 HG00406 0 42
SH002 HG00407 1 30
SH002 HG00408 1 34
SH003 HG00409 0 63
SH003 HG00410 1 65
SH006 HG00418 0 61
SH006 HG00419 1 23
SH006 HG00420 0 60
SH007 HG00421 0 63
SH007 HG00422 1 37
SH007 HG00423 1 47
SH009 HG00427 0 44
SH009 HG00428 1 38
SH009 HG00429 0 25
SH012 HG00436 0 79
SH012 HG00437 1 21
SH012 HG00438 1 72
SH014 HG00442 0 20
SH014 HG00443 1 36
SH014 HG00444 0 33
SH015 HG00445 0 25
SH015 HG00446 1 55
SH015 HG00447 1 77
SH016 HG00448 0 70
SH016 HG00449 1 49
SH016 HG00450 1 52
SH017 HG00451 0 24
SH017 HG00452 1 70
SH017 HG00453 1 52
SH019 HG00457 0 60
SH019 HG00458 1 59
SH019 HG00459 0 73
SH021 HG00463 0 34
SH021 HG00464 1 33
SH021 HG00465 0 49
SH024 HG00472 0 31
SH024 HG00473 1 45
SH024 HG00474 0 65
SH025 HG00475 0 65
SH025 HG00476 1 57
SH025 HG00477 0 31
SH026 HG00478 0 34
SH026 HG00479 1 53
SH026 HG00480 0 32
SH028 HG00500 0 45
SH028 HG00501 1 60
SH028 HG00502 0 31
SH032 HG00512 0 26
SH032 HG00513 1 80
SH032 HG00514 1 68
SH036 HG00524 0 62
SH036 HG00525 1 43
SH036 HG00526 0 78
SH038 HG00530 0 35
SH038 HG00531 1 37
SH038 HG00532 0 53
SH039 HG00533 0 75
SH039 HG00534 1 69
SH039 HG00535 0 73
SH040 HG00536 0 74
SH040 HG00537 1 47
SH040 HG00538 0 28
SH042 HG00542 0 64
SH042 HG00543 1 41
SH042 HG00544 1 57
PR01 HG00551 1 45
PR01 HG00552 0 64
PR02 HG00553 0 75
PR02 HG00554 1 34
PR02 HG00555 1 20
SH045 HG00556 0 69
SH045 HG00557 1 70
SH045 HG00558 1 69
SH046 HG00559 0 56
SH046 HG00560 1 33
SH046 HG00561 1 23
SH048 HG00565 0 65
SH048 HG00566 1 40
SH048 HG00567 0 65
SH052 HG00577 0 21
SH052 HG00578 1 24
SH052 HG00579 1 61
SH053 HG00580 0 48
SH053 HG00581 1 56
SH053 HG00582 1 37
SH054 HG00583 0 73
SH054 HG00584 1 36
SH054 HG00585 1 51
SH056 HG00589 0 79
SH056 HG00590 1 18
SH056 HG00591 0 64
SH057 HG00592 0 79
SH057 HG00593 1 66
SH057 HG00594 0 79
SH058 HG00595 0 67
SH058 HG00596 1 76
SH058 HG00597 1 57
SH059 HG00598 0 68
SH059 HG00599 1 60
SH062 HG00607 0 56
SH062 HG00608 1 48
SH062 HG00609 0 72
SH063 HG00610 0 39
SH063 HG00611 1 32
SH063 HG00612 1 58
SH064 HG00613 0 78
SH064 HG00614 1 52
SH064 HG00615 1 72
SH066 HG00619 0 71
SH066 HG00620 1 44
SH066 HG00621 0 24
SH067 HG00622 0 30
SH067 HG00623 1 66
SH068 HG00625 0 24
SH068 HG00626 1 30
SH068 HG00627 0 31
SH069 HG00628 0 38
SH069 HG00629 1 78
SH069 HG00630 0 74
SH070 HG00631 0 60
SH070 HG00632 1 55
SH071 HG00634 0 66
SH071 HG00635 1 71
SH071 HG00636 0 66
PR03 HG00637 0 52
PR03 HG00638 1 72
PR03 HG00639 1 42
PR04 HG00640 0 69
PR04 HG00641 1 51
PR04 HG00642 0 78
SH072 HG00650 0 65
SH072 HG00651 1 46
SH072 HG00652 1 46
SH073 HG00653 0 46
SH073 HG00654 1 58
SH073 HG00655 1 37
SH074 HG00656 0 62
SH074 HG00657 1 32
SH074 HG00658 0 22
SH076 HG00662 0 30
SH076 HG00663 1 43
SH076 HG00664 0 46
SH079 HG00671 0 69
SH079 HG00672 1 51
SH079 HG00673 0 27
SH080 HG00674 0 20
SH080 HG00675 1 52
SH083 HG00683 0 51
SH083 HG00684 1 50
SH083 HG00685 0 53
SH085 HG00689 0 65
SH085 HG00690 1 62
SH085 HG00691 0 41
SH086 HG00692 0 79
SH086 HG00693 1 42
SH086 HG00694 0 48
SH088 HG00698 0 60
SH088 HG00699 1 28
SH088 HG00700 1 19
SH089 HG00701 0 31
SH089 HG00702 1 39
SH089 HG00703 0 72
SH090 HG00704 0 73
SH090 HG00705 1 65
SH090 HG00706 0 46
SH091 HG00707 0 47
SH091 HG00708 1 38
SH091 HG00709 0 51
SH094 HG00717 1 60
SH098 HG00728 0 64
SH098 HG00729 1 41
PR05 HG00731 0 24
PR05 HG00732 1 71
PR05 HG00733 1 63
PR06 HG00734 1 52
PR06 HG00735 1 74
PR07 HG00736 0 26
PR07 HG00737 1 63
PR07 HG00738 0 67
PR09 HG00739 0 32
PR09 HG00740 1 41
PR09 HG00741 1 20
PR10 HG00742 0 37
PR10 HG00743 1 23
HG00759 HG00759 1 64
HG00766 HG00766 1 65
HG00844 HG00844 0 70
HG00851 HG00851 1 29
HG00864 HG00864 1 22
CDX1 HG00867 1 19
HG00879 HG00879 1 32
HG00881 HG00881 0 26
HG00956 HG00956 1 26
HG00978 HG00978 1 47
HG00982 HG00982 0 44
HG01028 HG01028 0 64
HG01029 HG01029 1 24
HG01031 HG01031 0 53
HG01046 HG01046 1 73
PR06 HG01047 0 49
PR08 HG01048 0 32
PR08 HG01049 1 36
PR08 HG01050 1 78
PR11 HG01051 0 37
PR11 HG01052 1 66
PR11 HG01053 1 63
PR12 HG01054 0 19
PR12 HG01055 1 78
PR12 HG01056 0 36
PR13 HG01058 1 50
PR14 HG01060 0 33
PR14 HG01061 1 26
PR14 HG01062 1 70
PR15 HG01063 0 71
PR15 HG01064 1 45
PR16 HG01066 0 71
PR16 HG01067 1 35
PR16 HG01068 1 53
PR17 HG01069 0 25
PR17 HG01070 1 53
PR17 HG01071 1 18
PR18 HG01072 0 44
PR18 HG01073 1 75
PR18 HG01074 0 56
PR01 HG01075 0 48
PR20 HG01077 1 70
PR21 HG01079 0 69
PR21 HG01080 1 20
PR21 HG01081 1 40
PR28 HG01082 0 40
PR28 HG01083 1 74
PR28 HG01084 1 44
PR26 HG01085 0 21
PR26 HG01086 1 31
PR26 HG01087 1 39
PR27 HG01088 0 64
PR27 HG01089 1 73
PR30 HG01092 1 22
PR29 HG01094 0 53
PR29 HG01095 1 29
PR29 HG01096 0 52
PR31 HG01097 0 76
PR31 HG01098 1 53
PR31 HG01099 0 25
PR32 HG01100 1 62
PR19 HG01101 0 71
PR19 HG01102 1 49
PR19 HG01103 1 35
PR25 HG01104 0 70
PR25 HG01105 1 68
PR25 HG01106 0 73
PR33 HG01107 0 58
PR33 HG01108 1 77
PR33 HG01109 0 76
PR34 HG01110 0 37
PR34 HG01111 1 51
CLM03 HG01112 0 69
CLM03 HG01113 1 37
CLM03 HG01114 1 35
CLM01 HG01119 1 53
CLM02 HG01121 0 71
CLM02 HG01122 1 77
CLM04 HG01124 0 72
CLM04 HG01125 1 30
CLM04 HG01126 0 77
CLM06 HG01130 0 69
CLM06 HG01131 1 75
CLM07 HG01133 0 79
CLM07 HG01134 1 56
CLM07 HG01135 0 61
CLM08 HG01136 0 59
CLM08 HG01137 1 21
CLM08 HG01138 0 69
CLM09 HG01139 0 25
CLM09 HG01140 1 25
CLM09 HG01141 1 68
CLM10 HG01142 0 25
CLM12 HG01148 0 46
CLM12 HG01149 1 63
CLM12 HG01150 1 68
PR35 HG01161 0 21
PR35 HG01162 1 76
PR37 HG01164 0 20
PR39 HG01167 0 46
PR39 HG01168 1 58
PR39 HG01169 1 29
PR24 HG01170 0 80
PR24 HG01171 1 52
PR24 HG01172 0 61
PR36 HG01173 0 29
PR36 HG01174 1 47
PR36 HG01175 1 76
PR42 HG01176 0 29
PR42 HG01177 1 68
PR42 HG01178 0 36
PR44 HG01182 0 54
PR44 HG01183 1 28
PR44 HG01184 1 26
PR38 HG01187 0 63
PR38 HG01188 1 72
PR38 HG01189 0 46
PR40 HG01190 0 73
PR40 HG01191 1 75
PR40 HG01192 0 38
PR46 HG01197 0 43
PR46 HG01198 1 62
PR46 HG01199 0 47
PR47 HG01200 0 18
PR49 HG01204 0 27
PR49 HG01205 1 61
PR49 HG01206 0 54
PR22 HG01241 0 62
PR22 HG01242 1 65
PR22 HG01243 0 29
PR32 HG01247 0 41
PR32 HG01248 1 28
PR34 HG01249 1 50
CLM14 HG01250 0 48
CLM14 HG01251 1 78
CLM14 HG01252 0 80
CLM15 HG01253 0 61
CLM15 HG01254 1 65
CLM15 HG01255 0 69
CLM16 HG01256 0 70
CLM16 HG01257 1 47
CLM16 HG01258 0 42
CLM17 HG01259 0 68
CLM17 HG01260 1 59
CLM17 HG01261 0 71
CLM20 HG01269 1 66
CLM21 HG01271 0 66
CLM21 HG01272 1 58
CLM21 HG01273 0 63
CLM22 HG01274 0 67
CLM22 HG01275 1 52
CLM22 HG01276 1 41
CLM23 HG01277 0 54
CLM23 HG01278 1 63
CLM23 HG01279 1 36
CLM24 HG01280 0 35
CLM24 HG01281 1 47
CLM25 HG01284 1 20
PR58 HG01286 0 21
PR59 HG01302 0 29
PR59 HG01303 1 66
PR61 HG01305 0 22
PR62 HG01308 0 46
PR63 HG01311 0 33
PR63 HG01312 1 60
PR67 HG01323 1 66
PR68 HG01325 0 73
PR68 HG01326 1 80
HG01334 HG01334 0 68
CLM26 HG01341 0 62
CLM26 HG01342 1 36
CLM26 HG01343 1 69
CLM27 HG01344 0 44
CLM27 HG01345 1 69
CLM27 HG01346 1 49
CLM28 HG01347 0 80
CLM28 HG01348 1 23
CLM28 HG01349 1 45
CLM29 HG01350 0 60
CLM29 HG01351 1 52
CLM29 HG01352 1 58
CLM30 HG01353 0 56
CLM30 HG01354 1 30
CLM30 HG01355 1 29
CLM31 HG01356 0 67
CLM31 HG01357 1 76
CLM31 HG01358 0 27
CLM32 HG01359 0 62
CLM32 HG01360 1 61
CLM32 HG01361 1 22
CLM33 HG01362 0 53
CLM33 HG01363 1 62
CLM34 HG01365 0 30
CLM34 HG01366 1 42
CLM34 HG01367 1 54
CLM35 HG01369 1 60
CLM36 HG01372 1 26
CLM37 HG01374 0 52
CLM37 HG01375 1 69
CLM37 HG01376 1 61
CLM38 HG01377 0 21
CLM38 HG01378 1 38
CLM38 HG01379 1 43
CLM40 HG01383 0 46
CLM40 HG01384 1 77
CLM40 HG01385 1 38
CLM42 HG01389 0 55
CLM42 HG01390 1 24
CLM42 HG01391 1 38
PR70 HG01392 0 27
PR70 HG01393 1 64
PR71 HG01395 0 74
PR71 HG01396 1 70
PR72 HG01398 0 27
PR74 HG01402 0 45
PR74 HG01403 1 33
PR75 HG01405 0 67
PR76 HG01412 0 42
PR78 HG01413 0 74
PR78 HG01414 1 67
CLM43 HG01431 0 38
CLM43 HG01432 1 30
CLM43 HG01433 0 37
CLM44 HG01435 1 56
CLM45 HG01437 0 64
CLM45 HG01438 1 75
CLM45 HG01439 1 56
CLM46a HG01440 0 49
CLM46 HG01441 1 22
CLM47 HG01443 0 52
CLM47 HG01444 1 19
CLM48 HG01447 1 31
CLM51 HG01455 0 43
CLM51 HG01456 1 45
CLM51 HG01457 0 70
CLM52 HG01459 1 71
CLM53 HG01461 0 79
CLM53 HG01462 1 80
CLM53 HG01463 1 78
CLM54 HG01464 0 24
CLM54 HG01465 1 58
CLM54 HG01466 1 25
CLM55 HG01468 1 29
CLM57 HG01474 1 69
CLM59 HG01479 0 44
CLM61 HG01485 0 34
CLM61 HG01486 1 67
CLM62 HG01488 0 44
CLM62 HG01489 1 27
CLM62 HG01490 1 32
CLM63 HG01491 0 19
CLM63 HG01492 1 58
CLM63 HG01493 1 70
CLM64 HG01494 0 67
CLM64 HG01495 1 18
CLM64 HG01496 1 23
CLM65 HG01497 0 50
CLM65 HG01498 1 50
CLM65 HG01499 0 33
IBS001 HG01500 0 36
IBS001 HG01501 1 63
IBS001 HG01502 0 73
IBS002 HG01503 0 51
IBS002 HG01504 1 67
IBS002 HG01505 0 45
IBS003 HG01506 0 77
IBS003 HG01507 1 45
IBS003 HG01508 0 32
IBS004 HG01509 0 41
IBS004 HG01510 1 35
IBS004 HG01511 1 49
IBS005 HG01512 0 76
IBS005 HG01513 1 64
IBS005 HG01514 1 71
IBS006 HG01515 0 76
IBS006 HG01516 1 51
IBS006 HG01517 1 30
IBS007 HG01518 0 46
IBS007 HG01519 1 28
IBS007 HG01520 1 68
IBS008 HG01521 0 71
IBS008 HG01522 1 70
IBS008 HG01523 0 50
IBS009 HG01524 0 71
IBS009 HG01525 1 39
IBS009 HG01526 0 48
IBS010 HG01527 0 59
IBS010 HG01528 1 31
IBS010 HG01529 0 66
IBS011 HG01530 0 66
IBS011 HG01531 1 80
IBS011 HG01532 0 50
IBS013 HG01536 0 67
IBS013 HG01537 1 58
IBS013 HG01538 1 41
CLM66 HG01550 0 53
CLM66 HG01551 1 61
CLM66 HG01552 0 61
CLM68 HG01556 0 64
PEL001 HG01565 0 52
PEL001 HG01566 1 55
PEL001 HG01567 1 70
PEL003 HG01571 0 22
PEL003 HG01572 1 26
PEL003 HG01573 1 57
PEL005 HG01577 0 69
PEL005 HG01578 1 60
PEL005 HG01579 0 21
PK02 HG01583 0 33
PK03 HG01586 0 45
PK04 HG01589 0 71
PK05 HG01593 1 24
VN001 HG01595 1 80
VN002 HG01596 0 60
VN003 HG01597 1 62
VN004 HG01598 1 54
VN005 HG01599 1 74
VN006 HG01600 1 42
IBS024 HG01601 0 29
IBS024 HG01602 1 34
IBS024 HG01603 0 63
IBS023 HG01604 1 79
IBS023 HG01605 1 37
IBS023 HG01606 0 60
IBS022 HG01607 1 69
IBS022 HG01608 0 76
IBS022 HG01609 0 68
IBS021 HG01610 0 69
IBS021 HG01611 0 31
IBS021 HG01612 1 80
IBS020 HG01613 1 44
IBS020 HG01614 1 56
IBS020 HG01615 0 33
IBS019 HG01616 1 64
IBS019 HG01617 0 80
IBS019 HG01618 1 24
IBS018 HG01619 0 72
IBS018 HG01620 1 68
IBS018 HG01621 0 78
IBS017 HG01622 1 19
IBS017 HG01623 1 37
IBS017 HG01624 0 79
IBS016 HG01625 0 61
IBS016 HG01626 1 45
IBS016 HG01627 0 75
IBS015 HG01628 1 20
IBS015 HG01629 0 45
IBS015 HG01630 0 58
IBS014 HG01631 0 73
IBS014 HG01632 1 49
IBS014 HG01633 0 54
IBS025 HG01667 0 45
IBS025 HG01668 1 26
IBS025 HG01669 0 75
IBS026 HG01670 1 25
IBS026 HG01671 0 46
IBS026 HG01672 0 73
IBS027 HG01673 1 48
IBS027 HG01674 0 27
IBS027 HG01675 0 33
IBS028 HG01676 1 26
IBS028 HG01677 1 49
IBS028 HG01678 0 25
IBS029 HG01679 1 51
IBS029 HG01680 0 33
IBS029 HG01681 1 52
IBS030 HG01682 0 18
IBS030 HG01683 0 79
IBS030 HG01684 1 64
IBS031 HG01685 1 74
IBS031 HG01686 0 72
IBS031 HG01687 1 80
IBS034 HG01694 0 55
IBS034 HG01695 1 39
IBS034 HG01696 0 68
IBS035 HG01697 1 63
IBS035 HG01698 0 37
IBS035 HG01699 0 39
IBS036 HG01700 0 67
IBS036 HG01701 0 56
IBS036 HG01702 1 61
IBS037 HG01703 0 52
IBS037 HG01704 1 34
IBS037 HG01705 0 21
IBS038 HG01706 1 60
IBS038 HG01707 1 47
IBS038 HG01708 0 28
IBS039 HG01709 0 28
IBS039 HG01710 1 68
IBS039 HG01711 1 80
IBS041 HG01746 1 53
IBS041 HG01747 0 78
IBS041 HG01748 0 18
IBS044 HG01755 1 29
IBS044 HG01756 0 29
IBS044 HG01757 1 35
IBS046 HG01761 0 31
IBS046 HG01762 1 73
IBS046 HG01763 1 18
IBS047 HG01765 0 44
IBS047 HG01766 1 64
IBS048 HG01767 0 76
IBS048 HG01768 1 62
IBS049 HG01770 1 41
IBS049 HG01771 0 79
IBS049 HG01772 1 41
IBS050 HG01773 1 18
IBS050 HG01774 0 60
IBS050 HG01775 0 32
IBS051 HG01776 1 53
IBS051 HG01777 0 76
IBS051 HG01778 0 57
IBS052 HG01779 1 74
IBS052 HG01780 0 61
IBS052 HG01781 0 58
IBS053 HG01782 1 67
IBS053 HG01783 0 75
IBS053 HG01784 1 70
IBS054 HG01785 0 63
IBS054 HG01786 1 27
HG01789 HG01789 0 57
HG01790 HG01790 1 50
HG01791 HG01791 0 52
HG01794 HG01794 1 59
HG01795 HG01795 1 38
HG01796 HG01796 1 50
HG01797 HG01797 1 61
HG01798 HG01798 1 30
HG01799 HG01799 1 72
HG01800 HG01800 1 76
HG01801 HG01801 1 79
HG01802 HG01802 1 60
HG01804 HG01804 1 38
HG01805 HG01805 1 22
HG01806 HG01806 1 42
HG01807 HG01807 1 32
HG01808 HG01808 1 50
HG01809 HG01809 1 62
HG01810 HG01810 0 29
HG01811 HG01811 0 18
HG01812 HG01812 1 62
HG01813 HG01813 1 79
HG01815 HG01815 1 25
HG01816 HG01816 0 54
HG01817 HG01817 1 71
VN007 HG01840 0 61
VN008 HG01841 1 44
VN009 HG01842 0 22
VN010 HG01843 1 39
VN011 HG01844 0 65
VN012 HG01845 1 38
VN013 HG01846 0 23
VN014 HG01847 1 78
VN015 HG01848 1 62
VN016 HG01849 0 52
VN017 HG01850 1 54
VN018 HG01851 1 61
VN019 HG01852 0 47
VN020 HG01853 1 62
VN022 HG01855 1 35
VN024 HG01857 1 66
VN025 HG01858 1 30
VN026 HG01859 1 54
VN027 HG01860 0 24
VN028 HG01861 0 62
VN029 HG01862 1 70
VN030 HG01863 1 76
VN031 HG01864 0 37
VN032 HG01865 0 46
VN033 HG01866 0 29
VN034 HG01867 0 19
VN035 HG01868 1 63
VN036 HG01869 1 51
VN037 HG01870 1 62
VN038 HG01871 1 33
VN039 HG01872 0 49
VN040 HG01873 0 22
VN041 HG01874 1 79
VN045 HG01878 1 65
BB01 HG01879 0 72
BB01 HG01880 1 24
BB01 HG01881 1 74
BB02 HG01882 0 25
BB02 HG01883 1 22
BB03 HG01884 1 34
BB03 HG01885 0 47
BB04 HG01886 1 57
BB04 HG01887 0 62
BB02 HG01888 0 35
BB05 HG01889 1 21
BB05 HG01890 0 75
BB05 HG01891 1 31
PEL007 HG01892 0 33
PEL007 HG01893 1 50
BB06 HG01894 1 53
BB06 HG01895 0 64
BB07 HG01896 1 72
BB07 HG01897 0 45
PEL007 HG01898 1 57
BB06 HG01912 0 32
BB09 HG01914 0 62
BB09 HG01915 1 64
BB09 HG01916 1 61
PEL006 HG01917 0 33
PEL006 HG01918 1 69
PEL006 HG01919 1 54
PEL009 HG01920 0 71
PEL009 HG01921 1 56
PEL009 HG01922 1 24
PEL010 HG01923 0 40
PEL010 HG01924 1 64
PEL010 HG01925 1 77
PEL011 HG01926 0 19
PEL011 HG01927 1 50
PEL011 HG01928 0 37
PEL013 HG01932 0 53
PEL013 HG01933 1 25
PEL013 HG01934 0 62
PEL014 HG01935 0 60
PEL014 HG01936 1 42
PEL014 HG01937 0 44
PEL015 HG01938 0 70
PEL015 HG01939 1 60
PEL015 HG01940 1 32
PEL016 HG01941 0 55
PEL016 HG01942 1 21
PEL016 HG01943 0 41
PEL017 HG01944 0 38
PEL017 HG01945 1 64
PEL017 HG01946 0 79
PEL018 HG01947 0 66
PEL018 HG01948 1 51
PEL018 HG01949 1 28
PEL019 HG01950 0 61
PEL019 HG01951 1 36
PEL019 HG01952 0 63
PEL020 HG01953 0 29
PEL020 HG01954 1 50
PEL020 HG01955 1 21
BB03 HG01956 1 27
BB10 HG01958 1 80
BB10 HG01959 1 57
BB11 HG01960 1 41
PEL21 HG01961 0 77
PEL22 HG01965 1 36
PEL023 HG01967 0 41
PEL023 HG01968 1 55
PEL023 HG01969 1 25
PEL024 HG01970 0 80
PEL024 HG01971 1 74
PEL024 HG01972 1 18
PEL25 HG01973 1 60
PEL25 HG01974 0 65
PEL25 HG01975 1 27
PEL26 HG01976 1 33
PEL26 HG01977 0 67
PEL26 HG01978 1 49
PEL27 HG01979 0 32
PEL27 HG01980 1 52
PEL27 HG01981 1 21
PEL28 HG01982 0 47
PEL28 HG01983 1 52
PEL28 HG01984 0 22
BB08 HG01985 1 34
BB10 HG01986 0 72
BB12 HG01987 0 30
BB11 HG01988 0 73
BB11 HG01989 1 63
BB12 HG01990 0 51
PEL29 HG01991 0 65
PEL29 HG01992 1 63
PEL29 HG01993 1 46
PEL31 HG01997 1 36
PEL31 HG01998 0 70
PEL33 HG02002 0 44
PEL33 HG02003 1 48
PEL33 HG02004 1 27
PEL34 HG02006 1 23
PEL31 HG02008 0 70
BB13 HG02009 0 27
BB13 HG02010 1 55
BB13 HG02011 0 61
BB12 HG02012 1 33
BB07 HG02013 0 50
BB04 HG02014 0 50
VN046 HG02015 0 19
VN046 HG02016 1 56
VN046 HG02017 0 27
VN047 HG02018 1 77
VN047 HG02019 1 23
VN047 HG02020 0 68
VN048 HG02023 0 26
VN049 HG02024 1 60
VN049 HG02025 1 70
VN049 HG02026 0 18
VN050 HG02027 0 64
VN050 HG02028 1 34
VN050 HG02029 0 52
VN051 HG02030 0 44
VN051 HG02031 1 61
VN051 HG02032 0 36
VN052 HG02035 0 73
VN054 HG02040 0 40
VN056 HG02047 0 77
VN057 HG02048 1 21
VN058 HG02049 1 35
VN059 HG02050 0 40
BB14 HG02051 0 29
BB14 HG02052 1 36
BB15 HG02053 0 73
BB15 HG02054 1 72
BB15 HG02055 0 18
VN060 HG02056 0 79
VN060 HG02057 1 69
VN060 HG02058 0 68
VN061 HG02059 1 39
VN061 HG02060 1 27
VN061 HG02061 0 24
VN062 HG02064 0 25
VN063 HG02067 0 31
VN064 HG02068 1 33
VN064 HG02069 1 33
VN064 HG02070 0 44
VN065 HG02071 0 77
VN065 HG02072 1 22
VN065 HG02073 0 77
VN066 HG02074 0 39
VN066 HG02075 1 54
VN066 HG02076 0 31
VN067 HG02077 0 54
VN067 HG02078 1 49
VN067 HG02079 0 78
VN068 HG02080 1 31
VN068 HG02081 1 68
VN068 HG02082 0 62
VN069 HG02083 0 39
VN069 HG02084 1 74
VN069 HG02085 0 65
VN070 HG02086 1 58
VN071 HG02087 1 41
VN072 HG02088 0 80
PEL35 HG02089 1 35
PEL35 HG02090 0 65
PEL35 HG02091 1 24
BB16 HG02095 1 55
PEL37 HG02102 1 62
PEL38 HG02104 0 36
PEL38 HG02105 1 70
PEL38 HG02106 1 35
BB18 HG02107 0 45
BB18 HG02108 1 77
BB19 HG02111 1 57
VN073 HG02113 1 21
VN074 HG02116 0 19
VN076 HG02120 0 42
VN076 HG02121 1 26
VN076 HG02122 0 24
VN078 HG02126 1 30
VN078 HG02127 1 54
